char,dialog,movie
Merry,My lady!  ,The Return of the King
Eomer,"Form up, move out! Form up, move out!  ",The Return of the King
Theoden, Ride! Ride now to Gondor. ,The Return of the King
Gimli,What is it? What do you see?  ,The Return of the King
Legolas,I see shapes of men and of horses. ,The Return of the King
Gimli,Where?  ,The Return of the King
Legolas,"Pale banners like shreds of cloud. , Spears rise     like winter thickets through a shroud of mist. The dead are following. They     have been summoned.  ",The Return of the King
Gimli," The dead?     Summoned? I knew that! Huh. Huh. , Very good. Very good. , Legolas!  ",The Return of the King
Aragorn,Do not look down.  ,The Return of the King
King Of The Dead,Who enters my domain? ,The Return of the King
Aragorn,One who will have your allegiance.  ,The Return of the King
King Of The Dead,The dead do not suffer the living to pass.  ,The Return of the King
Aragorn,You will suffer me!  ,The Return of the King
King Of The Dead,The way is shut! It was made by those who are dead. And the dead keep     it. The Ghostly army closes around them The way is shut! Now you must die!     ,The Return of the King
Aragorn, I summon you to     fulfil your oath!  ,The Return of the King
King Of The Dead,None but the King of Gondor may command me!  ,The Return of the King
Soldier,"Make way for the King!  Make way, the King is here ",The Return of the King
Soldier,My lord!  ,The Return of the King
Soldier, Hail to you sire!   ,The Return of the King
Grimbold, I bring 500 men from the Westfold my lord.   ,The Return of the King
Soldier,"We have 300 more from Fenmarch, Theoden King.   ",The Return of the King
King Of The Dead,That blade was broken! ,The Return of the King
Aragorn,"It has been remade. ,     Fight for us and regain your honour. What say you? ,What say you? ",The Return of the King
Gimli,Ach! You waste your time Aragorn. They had no honour in life and they     have none now in death.  ,The Return of the King
Aragorn,"I am Isildurs heir. Fight for me and I will hold your oaths fulfilled.    ,What say you?     ",The Return of the King
Aragorn,"You have my word! Fight and I will release you from this living death!    , What say you?  ",The Return of the King
Gimli,Stand you traitors!  ,The Return of the King
Aragorn,Out!  ,The Return of the King
Aragorn,Legolas! Run!  ,The Return of the King
King Of The Dead,We fight!  ,The Return of the King
Soldier,"Open the gate, quick!  ",The Return of the King
Irolas,Quick! Hurry!  ,The Return of the King
Denethor,Faramir! Say not that he has fallen.  ,The Return of the King
Irolas,They were outnumbered! None survived.  ,The Return of the King
Gothmog,Fear. The city is rank with it! Ha ha ha ha. Let us ease their pain.     Release the prisoners!  ,The Return of the King
Theoden,Where are the riders from Snowbourn?   ,The Return of the King
Soldier,None have come my lord.   ,The Return of the King
Theoden,"Six thousand spears, less than half of what I had hoped for. ",The Return of the King
Aragorn,Six thousand will not be enough to break the lines of Mordor.   ,The Return of the King
Theoden,  More will come     ,The Return of the King
Aragorn,"Every hour lost hastens Gondors defeat.  ,  We have until dawn then we must ride.   ",The Return of the King
Legolas,The horses are restless and the men are quiet. ,The Return of the King
Eomer,They grow nervous in the shadow of the mountain.   ,The Return of the King
Gimli,That road there where does that lead?   ,The Return of the King
Legolas," It is the road to the Dimholt, the door under the mountain.   ",The Return of the King
Orc,"Catapults! , ha ha ha.     ",The Return of the King
Denethor,"My sons are spent! ,     My line has ended!  ",The Return of the King
Pippin,Hes alive!  ,The Return of the King
Denethor, The     house of Stewards has failed.  ,The Return of the King
Pippin,He needs medicine my lord!  ,The Return of the King
Denethor,My line has ended!  ,The Return of the King
Pippin,My lord! ,The Return of the King
Denethor,Rohan has deserted us!  ,The Return of the King
Denethor,"Theodens betrayed me! ABANDON YOUR POSTS! ,FLEE! FLEE FOR YOUR LIVES! ",The Return of the King
Gandalf,Prepare for battle. Hurry men! To the wall! Defend the wall! Over here!     Return to your posts. ,The Return of the King
Gandalf,Send these foul beasts into the Abyss.  ,The Return of the King
Gothmog,Stay where you are! ,The Return of the King
Soldier,We need more rubble! ,The Return of the King
Eomer,None who venture there ever return.  That mountain is evil.   ,The Return of the King
Gimli,"Aragorn!  ,      Lets find some food.   ",The Return of the King
Eowyn,There.  A true esquire of Rohan.   ,The Return of the King
Merry,"Im ready!  , Sorry.  It isnt all that dangerous.  Its not     even sharp.   ",The Return of the King
Eowyn,"To the smithy, go!   ",The Return of the King
Eomer,     You should not encourage him. ,The Return of the King
Eowyn,You should not doubt him.   ,The Return of the King
Eomer,"I do not doubt his heart, only the reach of his arm.      ",The Return of the King
Eowyn,Why should Merry be left behind?  He has as much cause to go to war as     you.  Why can he not fight for those he loves?   ,The Return of the King
Eomer,"You know as little of war as that Hobbit.   When the fear takes him    , and the blood and the     screams and the horror of battle take hold.  Do you think he would stand and     fight?  He would flee.  And he would be right to do so.     ,  War is the     province of men Eowyn.   ",The Return of the King
Soldier,Sir?  King Theoden awaits you my lord.   ,The Return of the King
Soldier,Watch out!  ,The Return of the King
Soldier,Down to the lower levels quick!  ,The Return of the King
Soldier,Double up men!  ,The Return of the King
Gandalf,"Hold them back, do not give in to fear. Stand to your posts. Fight!  ",The Return of the King
Gandalf,"Not at the towers! Aim for the trolls, kill the trolls! ",The Return of the King
Gandalf,Bring them down!  ,The Return of the King
Gandalf,"Fight them back! ,Peregrin Took! Go back to the Citadel. ",The Return of the King
Pippin,They called us out to fight.  ,The Return of the King
Gandalf,This is no place for a Hobbit!  ,The Return of the King
Gandalf,"Guard of the Citadel indeed! , Now back up the hill     quickly. Quick!  ",The Return of the King
Gothmog,What are you doing you useless scum?  ,The Return of the King
Orc,The door wont give. Its too strong.  ,The Return of the King
Theoden,I take my leave.  ,The Return of the King
Aragorn, My lord Elrond ,The Return of the King
Elrond,I come on behalf of one whom I love.  Arwen is dying.  She will not long     survive the evil that now spreads from Mordor.  The light of the evenstar is     failing.  As Saurons power grows her strength wanes.  Arwens life is now     tied to the fate of the Ring.  The Shadow is upon us Aragorn.  The end has     come. ,The Return of the King
Aragorn,"It will not be our end, but his.   ",The Return of the King
Elrond,"  You ride to war     but not to victory.  Saurons armies ride on Minas Tirith, this you know.      But in secret he sends another force, which will attack, from the river.    , A fleet of Corsair ships sails from the South.  They will be     in the city in two days.  Youre outnumbered Aragorn.  You need more men. ",The Return of the King
Aragorn,There are none. ,The Return of the King
Elrond, There are those that dwell in the mountain.   ,The Return of the King
Aragorn,"Murderers, traitors. You would call upon them to fight?  They believe in     nothing.  They answer to no one ",The Return of the King
Elrond,"They will answer to the King of Gondor.  , Andril, the Flame of the West, forged from the shards of     Narsil.   ",The Return of the King
Aragorn,Sauron will not have forgotten the sword of Elendil.   ,The Return of the King
Aragorn,The blade that was broken shall return to Minas Tirith.   ,The Return of the King
Elrond,The man who can wield the power of this sword can summon to him an army     more deadly than any that walks this earth.  Put aside the Ranger.  Become     who you were born to be nen iEstel Edain.  ,The Return of the King
Aragorn, chebin Estel anim.   ,The Return of the King
Eowyn,Why are you doing this?  The war lies to the East.  You cannot leave on     the eve of battle.  You cannot abandon the men.   ,The Return of the King
Pippin,What were you thinking Peregrin Took?  What service can a Hobbit offer     such a great lord of men?    ,The Return of the King
Faramir," ,  It was     well done.  A generous deed should not be checked with cold counsel.     ,     You are to join the tower guard. ",The Return of the King
Pippin,I didnt think they would find any livery that would  fit me.  ,The Return of the King
Faramir,It once belonged to a young boy of the city.  A very foolish one who     wasted many hours slaying dragons instead of attending his studies.   ,The Return of the King
Pippin,This was yours?   ,The Return of the King
Faramir,"Yes, it was mine.  My father had it made for me.   ",The Return of the King
Gothmog,Get back there and smash it down! ,The Return of the King
Orc,But nothing can breach it!  ,The Return of the King
Gothmog,"Grond will breach it! , Bring out the wolfs head. ",The Return of the King
Orcs,"Grond, Grond, Grond, Grond,     Grond! ",The Return of the King
Orcs,"Grond, Grond, Grond, Grond!  ",The Return of the King
Aragorn,Eowyn ,The Return of the King
